Rural-UrbanContinuumCode2013,PopulationEstimate2018,PopTotalMale2017,PopTotalFemale2017,FracMale2017,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,dem_to_rep_ratio,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,SVIPercentile,Spread Factor
3.0,92387.0,44311.0,48227.0,0.4788411247271391,18111.0,138.9,92709.0,40.4,22596.0,17117.0,11.9,219.7,49.9,16.6560043,75.94,1250.0,195.0,0.0,1.0,48.0,0.3567152944549984,2540.0,2618.0,2750.0,2716.0,2867.0,2851.0,3337.0,3362.0,3566.0,3522.0,2669.0,2659.0,2401.0,2495.0,5562.0,5850.0,6298.0,6982.0,3055.0,3240.0,2744.0,3072.0,3926.0,4594.0,2117.0,3043.0,547.0,1326.0,34,19,12,15,18,27,0.4468,0.0
3.0,163941.0,79636.0,81968.0,0.4927848320586124,18611.0,230.9,140247.0,29.5,24613.0,17381.0,9.5,180.2,45.9,17.560140407000002,74.45,2833.0,249.0,0.0,1.0,28.0,0.6132824912615189,4456.0,4231.0,4394.0,4061.0,4495.0,4493.0,6581.0,6604.0,10868.0,10227.0,5430.0,5245.0,4229.0,4443.0,8372.0,8889.0,8389.0,8757.0,3348.0,3776.0,3015.0,3228.0,3514.0,4013.0,1665.0,2227.0,370.0,927.0,34,19,12,15,18,27,0.6602,5.228361771264401e-06
6.0,18439.0,8559.0,10196.0,0.4563583044521461,3634.0,35.2,21452.0,36.3,4867.0,3447.0,21.3,277.1,47.9,21.414696395,45.36,0.0,21.0,0.0,0.0,0.0,5.287211740041927,588.0,581.0,526.0,542.0,607.0,642.0,1086.0,1203.0,1041.0,1409.0,559.0,697.0,488.0,483.0,1020.0,1235.0,1342.0,1498.0,707.0,843.0,637.0,687.0,721.0,939.0,381.0,592.0,123.0,275.0,34,19,12,15,18,27,0.8971,7.747553709916094e-06
2.0,366519.0,176402.0,184644.0,0.4885859419575345,52852.0,417.7,334811.0,37.3,67210.0,52375.0,12.4,197.2,42.4,16.820172701,61.87,8900.0,1188.0,1.0,2.0,100.0,0.7017649687220733,10595.0,10274.0,10942.0,10343.0,11675.0,11159.0,12829.0,11948.0,12417.0,11904.0,11826.0,11420.0,10245.0,10467.0,21441.0,22916.0,26545.0,27271.0,10015.0,10561.0,8220.0,8925.0,10499.0,12652.0,5625.0,7659.0,1446.0,2992.0,34,19,12,15,18,27,0.3076,3.897673595561017e-07
7.0,29763.0,14765.0,15068.0,0.4949217309690611,6274.0,41.5,30776.0,42.8,7474.0,5422.0,18.1,299.0,54.1,19.060203607000002,87.77,499.0,12.0,0.0,1.0,4.0,0.12701791733191414,903.0,809.0,977.0,841.0,1040.0,907.0,984.0,933.0,780.0,846.0,811.0,779.0,834.0,822.0,2093.0,2040.0,2308.0,2214.0,1047.0,1025.0,1058.0,1080.0,1561.0,1728.0,715.0,1002.0,182.0,457.0,34,19,12,15,18,27,0.6709999999999999,9.599646733000225e-06
4.0,96109.0,47120.0,48428.0,0.4931552727424959,16023.0,164.4,93019.0,38.2,21527.0,15729.0,10.2,262.4,56.2,21.017853481,105.63,1034.0,125.0,0.0,1.0,20.0,0.1682003215544077,3333.0,3213.0,3206.0,3156.0,3318.0,3023.0,3473.0,3095.0,2907.0,2677.0,2962.0,2843.0,2814.0,2745.0,6098.0,6081.0,6489.0,6519.0,2765.0,3021.0,2547.0,2872.0,3723.0,4290.0,1818.0,2638.0,390.0,1003.0,34,19,12,15,18,27,0.7261,2.972815092387661e-06
2.0,413757.0,197473.0,216482.0,0.4770397748547547,65209.0,335.9,412992.0,36.6,85646.0,63152.0,12.6,231.5,49.1,19.369969149,65.83,8475.0,1410.0,0.0,4.0,157.0,0.7589259430590016,14316.0,13843.0,14208.0,13735.0,14753.0,14071.0,15613.0,15189.0,14055.0,15075.0,13248.0,14409.0,12587.0,13387.0,24774.0,26643.0,28809.0,31166.0,12925.0,13747.0,10959.0,12159.0,13522.0,16463.0,6687.0,10273.0,1918.0,4458.0,34,19,12,15,18,27,0.7532,3.4526821989028067e-06
2.0,225763.0,106898.0,119748.0,0.4716518270783512,33102.0,292.5,229363.0,34.9,44732.0,31839.0,13.0,179.7,54.8,19.68315291,68.04,6521.0,807.0,1.0,3.0,88.0,1.7326706467076434,8144.0,7728.0,7815.0,7598.0,7772.0,7652.0,8507.0,8244.0,9206.0,9630.0,8420.0,8852.0,7433.0,8048.0,14202.0,15332.0,14706.0,16859.0,6389.0,7754.0,5465.0,6186.0,6505.0,8263.0,3554.0,5535.0,1049.0,2515.0,34,19,12,15,18,27,0.8427,6.327748251801352e-07
6.0,22725.0,11005.0,11665.0,0.4854433171592413,4600.0,39.5,22913.0,41.2,5967.0,4336.0,13.8,305.5,48.9,18.998357528,73.3,145.0,7.0,0.0,1.0,0.0,0.2973393900064893,703.0,682.0,774.0,694.0,818.0,786.0,851.0,838.0,575.0,631.0,571.0,620.0,596.0,633.0,1386.0,1440.0,1638.0,1678.0,791.0,793.0,734.0,793.0,1049.0,1171.0,484.0,743.0,134.0,307.0,34,19,12,15,18,27,0.7191,0.0
1.0,215707.0,103569.0,110036.0,0.4848622457339482,31636.0,248.5,195085.0,36.9,38828.0,29842.0,9.6,162.2,42.7,15.561157468,53.63,955.0,658.0,0.0,1.0,32.0,0.3146672144617913,6745.0,6391.0,7266.0,6936.0,7318.0,7051.0,6575.0,6113.0,5293.0,5404.0,6322.0,6738.0,6934.0,7131.0,14664.0,15108.0,14235.0,15198.0,5924.0,6505.0,5028.0,5579.0,5913.0,6575.0,2689.0,3543.0,651.0,1256.0,34,19,12,15,18,27,0.1169,1.3245480476492913e-06
